name,pop,cov,lat,lon
QUEXII4,OTHER,0.777,51.420,11.680
QUEVIII6,SA,2.487,51.420,11.680
QLB15D,EF,0.163,51.420,11.680
QLB18A,EF,0.407,51.420,11.680
QLB28,OTHER,0.130,51.420,11.680
QLB26,OTHER,0.232,51.420,11.680
BZH6,SA,1.303,51.820,10.910
BZH12,SA,0.143,51.820,10.910
BZH2,OTHER,0.143,51.890,11.040
BZH15,OTHER,2.357,40.300,29.567
HAL5,EF,1.945,40.300,29.567
HAL16,SA,1.655,40.300,29.567
HAL25,EF,0.456,40.300,29.567
HAL14,EF,0.365,40.300,29.567
HAL34,EF,0.139,46.780,10.830
HAL36C,SA,4.948,49.810,6.400
HAL4,EF,6.727,59.408,27.026
HAL2,EF,0.703,50.980,17.068
HAL19,EF,0.745,50.918,16.957
HAL24,EF,0.116,50.948,16.943
RISE431,SA,0.111,55.397,13.600
SVP35,OTHER,0.723,55.397,13.600
SVP46,OTHER,0.476,55.997,14.107
SVP47,OTHER,0.053,46.580,43.678
SVP54,SA,0.091,47.327,18.962
SVP3,SA,6.199,47.327,18.962
SVP56,OTHER,2.812,55.914,11.565
RISE386,SA,0.415,46.356,20.985
RISE394,SA,0.363,46.220,20.199
SVP30,SA,1.372,46.220,20.199
SVP31,SA,0.485,46.220,20.199
RISE395,SA,2.397,52.453,55.160
SVP1,OTHER,0.390,50.593,56.830
SVP6,SA,0.264,53.876,59.076
SVP7,SA,1.367,52.453,55.160
SVP8,SA,0.049,52.637,59.536
SVP9,SA,0.448,52.143,16.538
SVP29,OTHER,0.044,48.932,12.259
SVP39,SA,3.210,48.932,12.259
SVP40,SA,0.094,48.932,12.259
SVP58,SA,0.653,50.009,10.180
SVP32,SA,0.590,56.970,9.552
SVP25,SA,0.513,48.170,10.814
SVP26,SA,0.454,47.341,18.896
SVP41,SA,0.078,47.341,18.896
SVP24,SA,0.123,47.341,18.896
SVP27,SA,0.516,47.341,18.896
SVP51,SA,0.347,45.260,10.379
SVP11,SA,0.810,45.260,10.379
SVP50,SA,0.736,45.260,10.379
SVP57,SA,5.317,53.456,85.447
SVP5,SA,0.625,53.456,85.447
SVP38,SA,0.843,53.456,85.447
SVP52,SA,0.260,51.498,85.970
SVP44,OTHER,0.598,51.498,85.970
RISE500,SA,1.818,54.584,90.775
RISE503,SA,0.879,54.584,90.775
RISE505,SA,5.277,54.584,90.775
SVP42,OTHER,0.870,85.447,53.456
SVP53,SA,4.953,46.539,43.699
RISE392,SA,0.598,46.539,43.699
RISE509,SA,0.974,46.539,43.699
RISE510,SA,0.236,46.556,43.676
RISE511,SA,3.755,46.615,43.334
RISE98,SA,6.125,48.716,44.500
RISE97,SA,0.746,48.330,10.895
RISE61,SA,0.318,48.330,10.895
RISE276,SA,0.083,48.663,12.707
RISE94,SA,0.927,48.691,13.016
RISE71,SA,0.260,48.691,13.016
RISE47,SA,0.105,50.118,14.258
Motala1,HG,1.030,50.190,14.158
Motala2,HG,1.756,50.190,14.158
Motala3,HG,0.657,50.160,14.311
Motala4,HG,2.709,48.799,17.022
Motala6,HG,1.562,55.703,11.855
Motala12,HG,4.391,56.676,10.034
RISE00,SA,0.910,56.025,14.233
UzOO74,OTHER,5.272,55.557,13.059
UzOO40,OTHER,0.136,55.381,13.445
RISE512,SA,0.303,48.780,9.180
