Name,Age,Lon,Lat,Site,Haplogroup,,,,,,,,
ACAD10810,1639,-77.033036,-12.110281,Huaca Pucllana Lima,C1b,,,,,,,,
ACAD10811,1639,-77.033036,-12.110281,Huaca Pucllana Lima,Dstar,,,,,,,,
ACAD10814,1639,-77.033036,-12.110281,Huaca Pucllana Lima,B2,,,,,,,,
ACAD10817,1639,-77.033036,-12.110281,Huaca Pucllana Lima,C1b,,,,,,,,
ACAD10820,1639,-77.033036,-12.110281,Huaca Pucllana Lima,C1b,,,,,,,,
ACAD10821,1639,-77.033036,-12.110281,Huaca Pucllana Lima,B2,,,,,,,,
JA14,1650,-75.185297,-14.533844,Jauranga,B2,,,,,,,,
MS21,1900,-75.185297,-14.533844,Los Molinos,B2,,,,,,,,
ACAD12687,3572,-76.728817,-10.319669,Lauricocha LAU3,A2,,,,,,,,
CS1,3750,-69.329019,-20.489014,Camarones,A2,,,,,,,,
LGA13,4000,-78.150019,-8.466556,La Galgada,B2,,,,,,,,
LGA2,4000,-78.150019,-8.466556,La Galgada,D1,,,,,,,,
LGA42,4000,-78.150019,-8.466556,La Galgada,A2,,,,,,,,
ACAD12688,5921,-76.728817,-10.319669,Lauricocha LAU4,A2,,,,,,,,
ASOB9S14,7755,-60.744167,-38.360556,Arroyo Seco 2,D1,,,,,,,,
ASOB2S19,7760,-60.244167,-38.360556,Arroyo Seco 2,A2,,,,,,,,
ACAD12686,8536,-76.728817,-10.319669,Lauricocha LAU1,A2,,,,,,,,
S0238Lau2,8536,-76.728817,-10.319669,Lauricocha LAU2,A2,,,,,,,,
ACAD12689,8650,-76.728817,-10.319669,Lauricocha LAU5,B2,,,,,,,,
Anzick1,12632,-110.657901,45.974618,Anzick,D4h3a,,,,,,,,
El Brujo 1,1215,-79.675,-7.029,Middle Horizon,,Middle Horizon,600,AD,1000,AD,1415,1015,1215
El Brujo 2,1615,-79.675,-7.029,Early Intermediate,,Early Intermediate,200,AD,600,AD,1815,1415,1615
El Brujo 3,4165,-79.675,-7.029,Late Archaic,,,,,,,,,
Las Llamas,777,-79.489,-7.422,Late Intermediate,,Late Intermediate,1000,AD,1476,AD,1015,539,777
Chinchawas 1,1215,-77.712,-8.765,Middle Horizon,,Middle Horizon,600,AD,1000,AD,1415,1015,1215
Chinchawas 2,777,-77.712,-8.765,Late Intermediate,,,,,,,,,
Castillo de Huarmey,1215,-78.153,-10.067,Middle Horizon,,Middle Horizon,600,AD,1000,AD,1415,1015,1215
Wari Kayan,3015,-76.31,-13.862,Formative Period,,Formative,1800,BC,200,BC,3815,2215,3015
Ica Valley 1,1215,-75.745,-13.707,Middle Horizon,,Middle Horizon,600,AD,1000,AD,1415,1015,1215
Ica Valley 2,1615,-75.745,-13.707,Early Intermediate,,Early Intermediate,200,AD,600,AD,1815,1415,1615
Chanka,777,-73.494,-13.433,Late Intermediate,,Late Intermediate,1000,AD,1476,AD,1015,539,777
Mesayocpata,510,-73.173,-13.824,Late Horizon,,Late Horizon,1476,AD,1534,AD,539,481,510
Charrangochayoc,777,-73.441,-14.089,Late Intermediate,,Late Intermediate,1000,AD,1476,AD,1015,539,777
Monte Grande,777,-75.452,-14.938,Late Intermediate,,Late Intermediate,1000,AD,1476,AD,1015,539,777
Palpa 2,777,-75.185297,-14.533844,Late Intermediate,,Late Intermediate,1000,AD,1476,AD,1015,539,777
Laramate 1,777,-74.734,-14.487,Late Intermediate,,Late Intermediate,1000,AD,1476,AD,1015,539,777
Laramate 2,1215,-74.734,-14.487,Middle Horizon,,Middle Horizon,600,AD,1000,AD,1415,1015,1215
Caleta Huelen,777,-70.05,-19.973,Late Intermediate,,Late Intermediate,,,,,,,
Los Rieles,8005,-71.682,-33.263,Middle Archaic,,5990calBCE,5990,BC,5990,BC,8005,8005,8005
Conchali 1,7457,-71.623,-34.659,Middle Archaic,,5578-5306calBCE,5578,BC,5306,BC,7593,7321,7457
Conchali 2,7457,-71.623,-34.659,Middle Archaic,,5578-5306calBCE,5578,BC,5306,BC,7593,7321,7457
Arroyo Seco 2 1,7732,-60.244167,-37.960556,Middle Archaic,,5787-5648calBCE,5787,BC,5648,BC,7802,7663,7732.5
Arroyo Seco 2 2,7732,-60.744167,-38.360556,Middle Archaic,,5787-5648calBCE,5787,BC,5648,BC,7802,7663,7732.5
Arroyo Seco 2 3,7732,-60.244167,-38.860556,Middle Archaic,,5787-5648calBCE,5787,BC,5648,BC,7802,7663,7732.5
Jabuticabeira 1,3000,-49.098,-28.634,,,2890,,,,,,,
Jabuticabeira 2,3000,-49.598,-28.634,,,,,,,,,,
Jabuticabeira 3,3000,-48.098,-28.634,,,,,,,,,,
Jabuticabeira 4,3000,-49.098,-28.134,,,,,,,,,,
Jabuticabeira 5,3000,-49.098,-29.134,,,,,,,,,,
1,11500,-152.598,64.36,Upward Sun River,B2,,,,,,,,
1,11500,-152.598,64.36,Upward Sun River,C1b,,,,,,,,
1,2535,-130.617,54.293,Lucy Islands,A2ag,2770,calBP,2300,calBP,,,2535,
1,2770,-130.617,54.293,Lucy Islands,A2ah,5130,calBP,4580,calBP,,,4855,
1,5675,-130.617,54.293,Lucy Islands,A2ag,5870,calBP,5480,calBP,,,5675,
1,6075,-130.617,54.293,Lucy Islands,D4h3a7,6260,calBP,5890,calBP,,,6075,
