Sample,Age,Lat,Lon
SVP26,3865,47.341,18.896
SVP27,4215,47.341,18.896
SVP29,3865,48.932,12.259
SVP3,4925,47.327,18.962
SVP30,3865,46.22,20.199
SVP31,3865,46.22,20.199
SVP32,3865,56.97,9.552
SVP35,7215,55.397,13.6
SVP38,5354,53.456,85.447
SVP39,3865,48.932,12.259
SVP40,3865,48.932,12.259
SVP41,4215,47.341,18.896
SVP42,4940,85.447,53.456
SVP44,7665,51.498,85.97
SVP46,7215,55.997,14.107
SVP47,7215,46.58,43.678
SVP5,5105,53.456,85.447
SVP50,5036,45.26,10.379
SVP51,4882,45.26,10.379
SVP52,5320,51.498,85.97
SVP53,4900,46.539,43.699
SVP54,5025,47.327,18.962
SVP56,2395,55.914,11.565
SVP57,5315,53.456,85.447
SVP58,5315,50.009,10.18
SVP6,3928,53.876,59.076
SVP7,3865,52.453,55.16
SVP8,3865,52.637,59.536
SVP9,3865,52.143,16.538
SZEH4,7225,42.5,0.5
Troc1,7326,53.03,50.39
Troc3,7193,53.03,50.39
Troc4,7192,53.03,50.39
Troc5,7325,51.27,58.18
Troc7,7318,53.34,50.34
UWS4,7224,51.42,11.68
UzOO40,7015,55.381,13.445
UzOO74,7515,55.557,13.059
